trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
68,False,"{'a': 0.5, 'e': 0.6599999999999997}",20,0,-59.84568965003851,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.6549999999999997}",20,5,-73.7503440163211,"{0: 8, 1: 3, 2: 3, 3: 0, 4: 1}",1
70,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,9,-32.6403681237429,"{0: 7, 1: 1, 2: 2, 3: 1, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.6449999999999997}",20,0,-155.99887297341184,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
72,False,"{'a': 0.5, 'e': 0.6399999999999997}",25,0,-74.23196494387452,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
73,False,"{'a': 0.5, 'e': 0.6349999999999997}",20,0,-3.7228907030689,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
74,False,"{'a': 0.5, 'e': 0.6299999999999997}",35,0,-28.095838081085667,"{0: 28, 1: 4, 2: 2, 3: 1, 4: 0}",0
75,False,"{'a': 0.5, 'e': 0.6249999999999997}",20,0,-59.49045061132003,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
76,False,"{'a': 0.5, 'e': 0.6199999999999997}",20,0,-25.37864212706893,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
77,False,"{'a': 0.5, 'e': 0.6149999999999997}",20,0,-116.69196768319655,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
78,False,"{'a': 0.5, 'e': 0.6099999999999997}",30,0,-17.260295692169485,"{0: 26, 1: 2, 2: 0, 3: 2, 4: 0}",0
79,False,"{'a': 0.5, 'e': 0.6049999999999996}",20,0,-97.84902344371831,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
80,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-134.8378118774832,"{0: 23, 1: 0, 2: 3, 3: 1, 4: 3}",0
81,False,"{'a': 0.5, 'e': 0.5949999999999996}",25,0,-92.30445751119446,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
82,False,"{'a': 0.5, 'e': 0.5899999999999996}",20,5,-5.039719488194952,"{0: 11, 1: 4, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.5849999999999996}",25,0,-78.62847797598526,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
84,False,"{'a': 0.5, 'e': 0.5799999999999996}",20,0,-80.94571278030244,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
