trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
44,False,"{'a': 0.05, 'e': 0.27738957312183404}",20,0,-62.31562662255352,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
45,False,"{'a': 0.05, 'e': 0.2635200944657423}",30,0,-84.5337639769103,"{0: 22, 1: 1, 2: 4, 3: 2, 4: 1}",0
46,False,"{'a': 0.05, 'e': 0.2503440897424552}",20,1,-14.476322370731374,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
47,False,"{'a': 0.05, 'e': 0.23782688525533244}",25,5,-7.299071705126625,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",1
48,False,"{'a': 0.05, 'e': 0.22593554099256583}",20,9,18.57676009369984,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.05, 'e': 0.21463876394293754}",30,0,21.255317402175162,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
50,False,"{'a': 0.05, 'e': 0.20390682574579067}",20,9,7.435952448639995,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
51,False,"{'a': 0.05, 'e': 0.19371148445850114}",25,0,1.3669917646547183,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
52,False,"{'a': 0.05, 'e': 0.18402591023557607}",20,0,-15.978067423358516,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
53,False,"{'a': 0.05, 'e': 0.17482461472379726}",20,14,10.276466536947279,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.05, 'e': 0.16608338398760739}",25,13,15.337037604487202,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.05, 'e': 0.157779214788227}",20,0,-26.64959867172027,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
56,False,"{'a': 0.05, 'e': 0.14989025404881567}",20,16,8.598510958298931,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.05, 'e': 0.1423957413463749}",25,0,-1.1018340673342868,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
58,False,"{'a': 0.05, 'e': 0.13527595427905614}",20,7,17.328922198040967,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.05, 'e': 0.12851215656510334}",20,14,8.108205493251564,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.05, 'e': 0.12208654873684817}",20,0,27.666762180851908,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.05, 'e': 0.11598222130000577}",30,0,-46.307160490666234,"{0: 26, 1: 0, 2: 2, 3: 1, 4: 1}",0
62,False,"{'a': 0.05, 'e': 0.11018311023500547}",20,12,-37.06862363392433,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
